Type,Name,Street,City,State,Zip,Hours of Operation,Area Served,Deliveries?,Diapers Offered?,Drive Thru?,Contact,Phone,Email,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
Food Pantries,St. Cyril's Church,148 Clinton St.,Binghamton,NY,13905,Monday-Friday 10:00AM 12:30PM,All,No,Clothing and Hygiene,No,,607-724-1372,,42.105972,-75.924774,1,rooftop,148,Clinton St,,,Binghamton,NY,Broome County,13905,US,Broome
Food Pantries,Tracy Creek Memorial Church,4 Knight Rd.,Vestal,NY,13850,Every Third Saturday 11:00AM-12:00PM Drive up service,,,,Yes,,607-785-0044,tcmc@tcmcvestal.org,42.04519,-76.083924,1,rooftop,4,Knight Rd,,,Vestal,NY,Broome County,13850,US,Broome
Food Pantries,Susquehanna Valley School,1168 Conklin Ave.,Conklin,NY,13748,Serving only SVCSD School District families.  Please call Stacey Stilloe 607-775-9149 or email:  sstilloe@svsabers.org,,,,,Stacey Martin-Stilloe,607-775-9149,webmaster@svsabers.org,42.061429,-75.810356,0.95,rooftop,1168,Conklin Rd,,,Conklin,NY,Broome County,13748,US,Broome
Food Pantries,Binghamton Food Rescue,30 Main St.,Binghamton,NY,13905,Every Saturday 1:30-2:30 UCC First Congregational Church,All,,,,,,Binghamtonfoodrescue@gmail.com,42.099159,-75.918137,1,rooftop,30,Main St,,,Binghamton,NY,Broome County,13905,US,Broome
Food Pantries,Good Neighbors at Memorial Park Baptist Church,1013 Front St.,Vestal,NY,13850,Call for food: Krista Callis 607-444-2448,"Anyone, anytime",No,No,No,,,,42.080359,-76.069473,1,rooftop,1013,Front St,,,Vestal,NY,Broome County,13850,US,Broome
Food Pantries,Sunflower Park Pantry,185 Murray St.,Binghamton,NY,13905,In the Pavilion April-December every Friday at 10:30AM,All Welcome,No,No,No,Mary Lou,,Marylour2007@aol.com,42.106257,-75.919326,1,rooftop,185,Murray St,,,Binghamton,NY,Broome County,13905,US,Broome
Food Pantries,First UMC of Kirkwood- Café Bounty,155 Main st.,Kirkwood,NY,13795,Starting May 3rd- September. Every Wednesday 4:40-6 PM,All Welcome,No,No,No,Joan Drew,607-775-2768. CHOW Hotline 607-723-8960,,42.030114,-75.793554,0.9,nearest_rooftop_match,158,Main St,,,Kirkwood,NY,Broome County,13795,US,Broome
Food Pantries,Christ Episcopal Church,10 Henry St.,Binghamton,NY,13901,Mon/Wed/Fri/ the last 2 weeks of the month,"Broome County, CHOW",No,No,No,,607-722-2308,,42.100419,-75.913445,1,rooftop,10,Henry St,,,Binghamton,NY,Broome County,13901,US,Broome
Food Pantries,All Saints Episcopal,475 Main St.,Johnson City,NY,13790,CHOW Monday-Saturday 12-2,,No,No,No,,607-797-3354,,42.115555,-75.96552,1,range_interpolation,475,Main St,,,Johnson City,NY,Broome County,13790,US,TIGER/Line® dataset from the US Census Bureau
Food Pantries,Addiction Center of Broome County,30 W. State St.,Binghamton,NY,13901,Monday-Thursday 10AM - 3 PM,Broome County,Yes,No,No,Becka Moore,(607)723-7308,bmoore@acbcservices.org,42.108813,-75.904848,1,rooftop,30,W State St,,,Binghamton,NY,Broome County,13901,US,Broome
Mobile Food Pantries,Redeemer Lutheran/Trinity Memorial Church MFP,44 Main St,Binghamton,NY,13905,"@ Trinity 2nd Tuesday, 10-11am",Anyone No registration required: https://www.foodbankst.org/cfd-form/,No,No,No,Alice & MaryLou,607-722-1029,,42.099485,-75.919277,1,rooftop,44,Main St,,,Binghamton,NY,Broome County,13905,US,Broome
Mobile Food Pantries,Conklin Mobile Food Pantry @ Maine Community Center,959 Conklin Rd,Conklin,NY,13748,"3rd Monday of most months, 10-11am Schedule here: https://docs.google.com/spreadsheets/d/1jjbzI-NwX4wr4L-6dd2SH-Ra05X-H_4lBJz1KGwTPsA/edit?usp=sharing",Anyone Pre-registration required: https://www.foodbankst.org/cfd-form/,No,No,Yes,Bill Krasowsky,,,42.085623,-75.829073,1,rooftop,959,Conklin Rd,,,Conklin,NY,Broome County,13748,US,Broome
Mobile Food Pantries,Deposit Mobile Food Pantry @ Deposit Central School,171 2nd St,Deposit,NY,13754,Varies Schedule here: https://docs.google.com/spreadsheets/d/1jjbzI-NwX4wr4L-6dd2SH-Ra05X-H_4lBJz1KGwTPsA/edit?usp=sharing,Anyone Pre-registration required: https://www.foodbankst.org/cfd-form/,No,No,Yes,,,,42.066755,-75.41901,1,rooftop,171,2nd St,,,Deposit,NY,Delaware County,13754,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)"
Mobile Food Pantries,Endwell Mobile Food Pantry @ Endwell UMC Church,3301 Watson Blvd,Endwell,NY,13760,"1st Monday of most months, 10-11am Schedule here",Anyone Pre-registration required: https://www.foodbankst.org/cfd-form/,Yes,No,Yes,Dave Alexander,(607) 754-5735,,42.111092,-76.021968,1,rooftop,3301,Watson Blvd,,,Endicott,NY,Broome County,13760,US,Broome
Mobile Food Pantries,Whitney Point Mobile Food Pantry @ Broome County Fairgrounds,NY Rt 11,Whitney Point,NY,13862,"2nd Wednesday of most months, 10-11am Schedule here: https://docs.google.com/spreadsheets/d/1jjbzI-NwX4wr4L-6dd2SH-Ra05X-H_4lBJz1KGwTPsA/edit?usp=sharing",Anyone Pre-registration required: https://www.foodbankst.org/cfd-form/,No,No,Yes,,,,42.336989,-75.98654,0.7,street_center,,County Rd 61,,,Whitney Point,NY,Broome County,13862,US,TIGER/Line® dataset from the US Census Bureau
Mobile Food Pantries,Binghamton Plaza Mobile Food Pantry @Kmart Plaza,33 W. State St.,Binghamton,NY,13901,4th Tuesday. Schedule here: https://docs.google.com/spreadsheets/d/1jjbzI-NwX4wr4L-6dd2SH-Ra05X-H_4lBJz1KGwTPsA/edit?usp=sharing,Anyone Pre-registration required: https://www.foodbankst.org/cfd-form/,No,No,Yes,Georgette Long,,,42.110183,-75.906461,1,rooftop,33,W State St,,,Binghamton,NY,Broome County,13901,US,Broome
Mobile Food Pantries,St. Mary's Rec Center parking lot Mobile Food Pantry,152 Hawley St,Binghamton,NY,13901,Every First Tuesday each month 10:00 AM - 11:00 AM ,"Anyone.  Pre-registration is preferred. However, you can just show up and register. ",No,No,No - Walk up,Sarah Hauer,,,42.098585,-75.904823,1,range_interpolation,152,Hawley St,,,Binghamton,NY,Broome County,13901,US,TIGER/Line® dataset from the US Census Bureau
Shelters,"Volunteers of America, Western New York, Inc.",320 Chenango St,Binghamton,NY,13901,Monday - Sunday 24 hours,Broome County,No,No,No,Alicia Davis,(607)772-1156,adavis@voaupny.org,42.107745,-75.903675,1,range_interpolation,320,Chenango St,,,Binghamton,NY,Broome County,13901,US,TIGER/Line® dataset from the US Census Bureau
Shelters,Binghamton Rescue Mission,56-58 Whitney Ave,Binghamton,NY,13901,,,,,,,(607)201-1030,,42.10964,-75.895708,0.9,nearest_rooftop_match,56,Whitney Ave,,,Binghamton,NY,Broome County,13901,US,Broome
Shelters,Fairview-Voices,340 Prospect St,Binghamton,NY,13905,Rehab Facility - call for info,,,,,,607-821-7811,,42.116433,-75.941561,1,rooftop,340,Prospect St,,,Binghamton,NY,Broome County,13905,US,Broome
Shelters,RISE-NY,1201 E Main St,Endicott,NY,13760,Monday-Friday 8:30-4:30,Broome county for domestic violence victims/survivors,No,No,No,Nicole Barren,(607)786-3540 CALL 24/7,nbarren@rise-ny.org,42.09866,-76.048823,1,rooftop,1201,E Main St,,,Endicott,NY,Broome County,13760,US,Broome
Shelters,YMCA- Mens Supportive Living,61 Susquehanna St.,Binghamton,NY,13901,,,,,,Collin Elliott,607-722-0560 ext 336,,42.095665,-75.910962,1,rooftop,61,Susquehanna St,,,Binghamton,NY,Broome County,13901,US,Broome
Shelters,YWCA,80 Hawley St.,Binghamton,NY,13901,,,,,,,607-772-0340,,42.097106,-75.909817,1,rooftop,80,Hawley St,,,Binghamton,NY,Broome County,13901,US,Broome
Blessing Boxes,Girl Scouts Troop 30392,"403 E. Main St, Round Hill Masons Lodge",Endicott,NY,13760,24/7 Blessing Box - walk up,All Welcome,,,,Amanda Smith,,amandahelaine27@yahoo.com,42.095328,-76.060114,1,rooftop,403,E Main St,,,Endicott,NY,Broome County,13760,US,Broome
Blessing Boxes,ACBC Blessing Box,30 W. State St,Binghamton,NY,13901,24/7 Blessing Box - Supplied by Good Neighbors and Aliza Spencer Blessing Box,,No,No,No,,,,42.108813,-75.904848,1,rooftop,30,W State St,,,Binghamton,NY,Broome County,13901,US,Broome
Blessing Boxes,PR Blessing Box,3202 Marne Ave,"Endwell, NY",NY,13760,"24/7 walk up pantry, call OR FB message for care package",All welcome: Facebook page: https://www.facebook.com/groups/1647388005702696,No,No,No,Nicole Robinson,607-348-8888,nicolephil124@gmail.com,42.105628,-76.022316,1,rooftop,3202,Marne Ave,,,Endicott,NY,Broome County,13760,US,Broome
Blessing Boxes,Friends in Need Blessing Box,3145 Stewart Rd. Lot G1,Vestal,NY,13850,"24/7 walk up pantry, call OR FB message for care package",All Welcome: Facebook page: https://www.facebook.com/groups/561239215728488,May deliver care packages,No,No,Deanna Giordani,607-308-1416,1983pugsley1@gmail.com,42.097861,-76.001461,1,rooftop,3145,Stewart Rd,Unit,1,Vestal,NY,Broome County,13850,US,Broome
Blessing Boxes,Friends in Need Blessing Box,200 Rano Blvd,Vestal,NY,13850,"24/7 walk up pantry, call OR FB message for care package",All Welcome: Facebook page: https://www.facebook.com/groups/561239215728488,May deliver care packages,No,No,Deanna Giordani,607-308-1416,1983pugsley1@gmail.com,42.092714,-76.004638,1,rooftop,200,Rano Blvd,,,Vestal,NY,Broome County,13850,US,Broome
Blessing Boxes,Little Free Pantry-Marie Lynch Memorial Park,2098 River St.,Lisle,NY,13797,24/7 walk up Pantry,"Anyone, anytime",No,No,No,Jen Mullen,607-821-8357,,42.348896,-76.000715,1,rooftop,2098,River St,,,Lisle,NY,Broome County,13797,US,Broome
Blessing Boxes,Aliza Spencer Blessing Box,209 E. Fredrick St,Binghamton,NY,13904,"24/7 walk up pantry, call OR FB message for care package",Any,No,No,No,Leksi Sousouris,607-624-6119,stellaroseann93@yahoo.com,42.111779,-75.882084,1,rooftop,209,E Frederick St,,,Binghamton,NY,Broome County,13904,US,Broome
Blessing Boxes,Aunt Dot's Cupboard Food Pantry,41 Loughlin Rd Lot 17,Binghamton,NY,13904,"24/7 Call 607-727-1457, walk up or drive up",Any,Call 607-727-1457,No,No,Rev. Tim Page,607-727-1457,holychurchofchristbinghamton@aol.com,42.106447,-75.847577,1,rooftop,41,Loughlin Rd,Lot,17,Binghamton,NY,Broome County,13904,US,Broome
Blessing Boxes,Friends in Need Blessing Box,135 Baldwin St.,Johnson City,NY,13790,"24/7 walk up pantry, call OR FB message for care package",All Welcome: Facebook page: https://www.facebook.com/groups/561239215728488,May deliver care packages,No,No,Deanna Giordani,607-308-1416,1983pugsley1@gmail.com,42.111423,-75.957098,1,rooftop,135,Baldwin St,,,Johnson City,NY,Broome County,13790,US,Broome
Blessing Boxes,Friends in Need Blessing Box,20 Exchange St.,Binghamton,NY,13901,"24/7 walk up pantry, call OR FB message for care package",All Welcome: Facebook page: https://www.facebook.com/groups/561239215728488,May deliver care packages,No,No,Deanna Giordani,607-308-1416,1983pugsley1@gmail.com,42.095301,-75.908243,1,rooftop,20,Exchange St,,,Binghamton,NY,Broome County,13901,US,Broome
Blessing Boxes,Friends in Need Blessing Box,8 Munsel St,Binghamton,NY,13901,"24/7 walk up pantry, call OR FB message for care package",All Welcome: Facebook page: https://www.facebook.com/groups/561239215728488,May deliver care packages,No,No,Deanna Giordani,607-308-1416,1983pugsley1@gmail.com,42.107656,-75.902751,1,rooftop,8,Munsell St,,,Binghamton,NY,Broome County,13901,US,Broome
Blessing Boxes,Brandi's Blessing Box,1707 Riverview Dr.,Endicott,NY,13760,"24/7 walk up pantry, call OR FB message for care package",All Welcome: Facebook page: https://www.facebook.com/mombossdetailing,May deliver care packages,,,Brandi Pessagno,607-624-7182,Brandipessagno@gmail.com,42.098453,-76.040359,1,rooftop,1707,Riverview Dr,,,Endicott,NY,Broome County,13760,US,Broome
Blessing Boxes,Friends in Need Blessing Box,27 St. Charles St.,Johnson City,NY,13790,"24/7 walk up pantry, call OR FB message for care package",All Welcome: Facebook page: https://www.facebook.com/groups/561239215728488,May deliver care packages,,,Deanna Giordani,607-308-1416,1983pugsley1@gmail.com,42.11488,-75.961097,1,rooftop,27,St Charles St,,,Johnson City,NY,Broome County,13790,US,Broome
Blessing Boxes,Good Neighbors Blessing Box,533 Central St,Endicott,NY,13760,"24/7 walk up pantry, call OR FB message for care package",,,,,Krista Callis,607-444-2448,foodrunner26@gmail.com,42.099932,-76.056834,1,rooftop,533,Central St,,,Endicott,NY,Broome County,13760,US,Broome
Blessing Boxes,Good Neighbors Blessing Box,1013 Front St,Vestal,NY,13850,24/7 walk up Pantry,,,,,Krista Callis,607-444-2448,foodrunner26@gmail.com,42.080359,-76.069473,1,rooftop,1013,Front St,,,Vestal,NY,Broome County,13850,US,Broome
,,,,,,Hours of Operation,Call for Reservations,Meal Provided,Cost,,,,,0,0,0,,The query parameter is an empty string. Please supply a valid address.,,,,,,,,,
Senior Centers,Eastern Broome,27 Golden Ln.,Harpursville,NY,13787,Mon-Fri. 9AM-2:30PM,607-693-2069. Require a meal reservation by noon the day before,"Lunch at Noon, Mon.- Fri.","Suggested contribution of $3.50 for people over 60 and their spouse. No one over 60 will be denied a meal for inability to pay or contribute. However, people under 60 are charged a $4.50 per meal price.",,,607-693-2069,,42.17466,-75.623825,1,rooftop,27,Golden Ln,,,Harpursville,NY,Broome County,13787,US,Broome
Senior Centers,Deposit,14 Monument St.,Deposit,NY,13754,Tues. & Thurs 9AM-2PM,607-467-3953. Require a meal reservation by noon the day before,Lunch 12:30PM Tues. & Thurs.,"Suggested contribution of $3.50 for people over 60 and their spouse. No one over 60 will be denied a meal for inability to pay or contribute. However, people under 60 are charged a $4.50 per meal price.",,,607-467-3953,,42.06212,-75.420781,0.9,range_interpolation,14,Monument St,,,Deposit,NY,Delaware County,13754,US,TIGER/Line® dataset from the US Census Bureau
Senior Centers,Broome West,2801 Wayne St.,Endicott,NY,13760,Mon-Fri. 9AM-3PM,607-785-1777. Require a meal reservation by noon the day before,"Lunch at Noon, Mon.-Fri","Suggested contribution of $3.50 for people over 60 and their spouse. No one over 60 will be denied a meal for inability to pay or contribute. However, people under 60 are charged a $4.50 per meal price.",,,607-785-3427,,42.109677,-76.030832,1,rooftop,2801,Wayne St,,,Endicott,NY,Broome County,13760,US,Broome
Senior Centers,"First Ward, Binghamton",226 Clinton St.,Binghamton,NY,13905,Mon.-Fri 8:30AM-3:30PM,607-729-6214. Require a meal reservation by noon the day before,"Lunch at 11:45AM, Mon.- Fri.","Suggested contribution of $3.50 for people over 60 and their spouse. No one over 60 will be denied a meal for inability to pay or contribute. However, people under 60 are charged a $4.50 per meal price.",,,607-797-2307,,42.107043,-75.929977,1,rooftop,226,Clinton St,,,Binghamton,NY,Broome County,13905,US,Broome
Senior Centers,Northern Broome,12 Strongs Pl.,Whitney Point,NY,13862,Mon-Fri. 9AM-3PM,607-692-3405. Require a meal reservation by noon the day before,"Lunch at Noon, Mon.-Fri","Suggested contribution of $3.50 for people over 60 and their spouse. No one over 60 will be denied a meal for inability to pay or contribute. However, people under 60 are charged a $4.50 per meal price.",,,607-692-3405,,42.326651,-75.968047,1,rooftop,12,Strongs Pl,,,Whitney Point,NY,Broome County,13862,US,Broome
Senior Centers,North Shore Towers,24 Isbell St.,Binghamton,NY,13901,Mon-Fri. 10AM-2PM,607-772-6214. Require a meal reservation by noon the day before,"Lunch at Noon, Mon.-Fri","Suggested contribution of $3.50 for people over 60 and their spouse. No one over 60 will be denied a meal for inability to pay or contribute. However, people under 60 are charged a $4.50 per meal price.",,,607-772-6214,,42.096296,-75.9101,1,rooftop,24,Isbell St,,,Binghamton,NY,Broome County,13901,US,Broome
Senior Centers,Johnson City,30 Brocton St.,Johnson City,NY,13790,"Mon-Thurs 9AM-4PM, Friday 9AM-2PM",607-797-1149. Require a meal reservation by noon the day before,"Lunch at Noon, Mon.- Fri.","Suggested contribution of $3.50 for people over 60 and their spouse. No one over 60 will be denied a meal for inability to pay or contribute. However, people under 60 are charged a $4.50 per meal price.",,,607-797-1149,,42.118786,-75.954976,1,rooftop,30,Brocton St,,,Johnson City,NY,Broome County,13790,US,Broome
Senior Centers,Vestal,201 Main St.,Vestal,NY,13850,Mon-Fri. 9AM-2PM,607-754-9596. Require a meal reservation by noon the day before,"Lunch at 11:45AM, Mon.- Fri.","Suggested contribution of $3.50 for people over 60 and their spouse. No one over 60 will be denied a meal for inability to pay or contribute. However, people under 60 are charged a $4.50 per meal price.",,,607-754-9596,,42.084783,-76.051736,1,rooftop,201,Main St,,,Vestal,NY,Broome County,13850,US,Broome
Senior Centers,Chenango Bridge,740 River Rd.,Binghamton,NY,13901,Wednesday & Friday,607-648-4339. Require a meal reservation by noon the day before,Lunch on Wed and Fri,"Suggested contribution of $3.50 for people over 60 and their spouse. No one over 60 will be denied a meal for inability to pay or contribute. However, people under 60 are charged a $4.50 per meal price.",,,607-648-4339,,42.166725,-75.86478,1,rooftop,740,River Rd,,,Binghamton,NY,Broome County,13901,US,Broome
,,,,,,,,,,,,,,0,0,0,,The query parameter is an empty string. Please supply a valid address.,,,,,,,,,
Summer Meal Sites,Deposit Central School,171 Second St,Deposit,NY,13754,"July 10th -August 24th,  Monday-Thursday Bfast 8:00-8:30 AM & Lunch 10:30 AM - 1:00 PM",,,,,Lori Wheeler,607-467-5507,lwheeler@deposit.stier.org,42.066755,-75.41901,1,rooftop,171,2nd St,,,Deposit,NY,Delaware County,13754,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)"
Summer Meal Sites,Harpursville Central School,54 Main St,Harpursville,NY,13787,"July 10th - August 3rd,  Monday-Thursday:  Bfast 7:45-9:00 AM  Lunch 10:45 AM - 12:15 PM",,,,,Norene Tasbar,607-693-8126,ntasber@btboces.org,42.181922,-75.621887,1,rooftop,54,Main St,,,Harpursville,NY,Broome County,13787,US,Broome
Summer Meal Sites,Maine Memorial,2693 Main St,Maine,NY,13802,"July 10th - August 18th, Monday-Friday:  Bfast 7:30-9:30 AM  Lunch 11:00 AM - 12:00 PM",,,,,Jessica Brown,607-786-8211,jbrown@btboces.org,42.200716,-76.058341,0.9,rooftop,2693,Main St,,,Endicott,NY,Broome County,13760,US,Broome
Summer Meal Sites,Maine Summer Recreation,"Town of Maine Park, 2693 State Route26",Maine,NY,13802,"July 10th - August 11th, Monday - Friday: Bfast 9:00-10:00 AM  Lunch: 12:00 - 1:00 PM",,,,,Christa Munley,607-621-7542,mainerecreation@gmail.com,42.194602,-76.060374,0.9,range_interpolation,2693,State Rte 26,,,Maine,NY,Broome County,13802,US,TIGER/Line® dataset from the US Census Bureau
Summer Meal Sites,Highland Park - Summer Fun Program,"Highland Park, 801 Hooper Rd.",Endwell,NY,13760,"July 5th - August 11th, Monday - Friday:  Bfast:  9:00 - 9:30 AM  Lunch:  11:30 AM - 12:30 PM",,,,,Chris Hinkey,607-221-3536,chinkey@townofunion.com,42.126691,-76.029547,1,rooftop,801,Hooper Rd,,,Endicott,NY,Broome County,13760,US,Broome
Summer Meal Sites,ABC Childcare & Learning Center,546 Hooper Rd.,Endwell,NY,13760,"July 5th - August 25th, Monday - Friday:  Bfast: 8:00 - 8:30 AM  Lunch:  12 - 12:30 PM",,,,,C Vakili,607-748-3334,cvakili@abcchildcare.us,42.119963,-76.01896,1,rooftop,546,Hooper Rd,,,Endicott,NY,Broome County,13760,US,Broome
Summer Meal Sites,Jennie F. Snapp Middle School,101 Loder Ave,Endicott,NY,13760,"July 17th - August 10th, Monday - Thursday:  Bfast: 8:00 - 8:30 AM  Lunch:  11:30 - 12:00 PM",,,,,Teresa McKinney,607-757-2191,tmckinne@uek12.org,42.097466,-76.061879,0.9,rooftop,101,S Loder Ave,,,Endicott,NY,Broome County,13760,US,Broome
Summer Meal Sites,Southern Tier Community Center,1 Clubhouse Rd,Endicott,NY,13760,"July 5th - August 25th, Monday - Friday:  Bfast: 7:00 - 9:00 AM  Lunch:  11 - 2:00 PM",,,,,Nicole Golden Thomas,607-349-7242,ngoldenthomas@chowc.org,42.097538,-76.044892,1,rooftop,1,Clubhouse Rd,,,Endicott,NY,Broome County,13760,US,Broome
Summer Meal Sites,St. Anthony's Learning Center,906 Jenkins St,Endicott,NY,13760,"July 3rd - August 25th, Monday - Friday:  Bfast 8:45 - 9:30 AM  Lunch:  11 - 12:45PM",,,,,Robin Gorman,607-748-5184,tlcorbin@stny.rr.com,42.112444,-76.051741,1,rooftop,906,Jenkins St,,,Endicott,NY,Broome County,13760,US,Broome
Summer Meal Sites,Union Endicott High School,1200 E. Main St. ,Endicott,NY,13760,"July 17th - August 10th, Monday - Thursday:  Bfast: 8:00 - 8:30 AM  Lunch:  11:30 - 12:00 PM",,,,,Teresa McKinney,607-757-2191,tmckinne@uek12.org,42.097879,-76.048409,1,rooftop,1200,E Main St,,,Endicott,NY,Broome County,13760,US,Broome
Summer Meal Sites,Palmer/Middle School,213 Main St,Endicott,NY,13760,"July 3rd - August 3rd, Monday - Thursday  Bfast:  8:30 - 9:30 AM  Lunch:  11:00 - 12:00 PM",,,,,Jessica Ferris,607-655-8257,jferris@windsor-csd.org,42.095263,-76.067424,0.9,range_interpolation,213,W Main St,,,Endicott,NY,Broome County,13760,US,TIGER/Line® dataset from the US Census Bureau
Summer Meal Sites,Windsor High School,1191 NY Route 79,Windsor,NY,13865,"July 10th - August 17th, Monday-Thursday  Bfast 8:00 - 9:00 AM  Lunch:  11:00AM - 12:00 PM",,,,,,,,42.066399,-75.642354,1,rooftop,1191,State Rte 79,,,Windsor,NY,Broome County,13865,US,Broome
Summer Meal Sites,Whitney Point Daycare,2496 W. Main St,Whitney Point,NY,13862,"July 10th - August 18th, Monday-Friday:  Bfast 8:00-9:00 AM  Lunch 11:00 AM - 12:00 PM",,,,,,,,42.331239,-75.977457,1,rooftop,2496,W Main St,,,Whitney Point,NY,Broome County,13862,US,Broome
Summer Meal Sites,Tioughnioga Riverside Academy,2887 NYS Route 11,Whitney Point,NY,13862,"July 10th - August 17th, Monday-Thursday  Bfast 8:00 - 9:00 AM  Lunch:  11:00AM - 12:00 PM",,,,,,,,42.332741,-75.970813,1,rooftop,2887,State Rte 11,,,Whitney Point,NY,Broome County,13862,US,Broome
,,,,,,,,,,,,,,0,0,0,,The query parameter is an empty string. Please supply a valid address.,,,,,,,,,
,SUMMER MEAL SITES:  CITY OF BINGHAMTON,,,,,,,,,,,,,0,0,0,,The query parameter is an empty string. Please supply a valid address.,,,,,,,,,
Summer Meal Sites,Ben Franklin Elementary School,262 Conklin Ave,Binghamton,NY,13903,"July 10th - August 3rd,  Monday-Thursday:  Bfast 8:00-8:30 AM  Lunch 12:00 - 12:30 PM",,,,,,,,42.094736,-75.890955,1,rooftop,262,Conklin Ave,,,Binghamton,NY,Broome County,13903,US,Broome
Summer Meal Sites,Binghamton Branch YMCA,61 Susquehanna St,Binghamton,NY,13901,"July 5th - August 25th, Monday - Friday:  Bfast: 8:00 - 9:15 AM  Lunch:  11:30 - 12:30 PM",,,,,,,,42.095665,-75.910962,1,rooftop,61,Susquehanna St,,,Binghamton,NY,Broome County,13901,US,Broome
Summer Meal Sites,Binghamton High School,31 Main St.,Binghamton,NY,13905,"July 17th - August 10th, Monday - Thursday:  Bfast: 8:00 - 8:30 AM  Lunch:  11:30 - 12:15 PM",,,,,,,,42.09817,-75.91913,1,rooftop,31,Main St,,,Binghamton,NY,Broome County,13905,US,Broome
Summer Meal Sites,B&G Club of Binghamton,90 Clinton St,Binghamton,NY,13905,"July 5th - August 25th, Monday - Friday:  Bfast: 9:00 - 10:00 AM  Lunch:  12:00 - 1:00 PM",,,,,,,,42.105333,-75.921222,1,rooftop,90,Clinton St,,,Binghamton,NY,Broome County,13905,US,Broome
Summer Meal Sites,B.C. Urban League,1 Chrisfield Ave @ Two Rivers Church,Johnson City,NY,13790,"July 10th - August 18th, Monday-Friday:  Bfast 8:30-9:30 AM  Lunch 12:00  - 12:30 PM",,,,,,,,42.105871,-75.966631,0.95,rooftop,1,Chris Field Ave,,,Johnson City,NY,Broome County,13790,US,Broome
Summer Meal Sites,Calvin Coolidge Elementary,261 Robinson St,Binghamton,NY,13904,"July 10th - August 17th, Monday-Thursday  Bfast 8:45 - 9:15 AM  Lunch:  11:15AM - 12:15 PM",,,,,,,,42.108737,-75.880171,1,rooftop,261,Robinson St,,,Binghamton,NY,Broome County,13904,US,Broome
Summer Meal Sites,Carlisle Community Center,150 Moeller St,Binghamton,NY,13904,"July 5th - August 25th, Monday - Friday:  Bfast: 10:00 - 11:00 AM  Lunch:  1:00 - 2:00 PM",,,,,,,,42.116618,-75.887502,1,rooftop,150,Moeller St,,,Binghamton,NY,Broome County,13904,US,Broome
Summer Meal Sites,Cheri Lindsey Park,1 Pleasant St,Binghamton,NY,13901,"July 5th - August 11th, Monday - Friday:  Bfast:  9:00 - 9:30 AM  Lunch:  11:30 AM - 12:00 PM",,,,,,,,42.112541,-75.904016,1,rooftop,1,Pleasant St,,,Binghamton,NY,Broome County,13901,US,Broome
Summer Meal Sites,Cole Park Club Scout Day Camp,1674 Colesville Rd,Harpursville,NY,13787,"July 24th - July 28th, Monday - Friday:  LUNCH 11:45-1:25 PM",,,,,,,,42.144281,-75.70698,1,rooftop,1674,Colesville Rd,,,Harpursville,NY,Broome County,13787,US,Broome
Summer Meal Sites,Columbus Park,46 Carroll St,Binghamton,Ny,13901,"July 5th - August 11th, Monday - Friday:  Bfast:  9:00 - 9:30 AM  Lunch:  11:30 AM - 12:00 PM",,,,,,,,42.100034,-75.9079,1,range_interpolation,46,Carroll St,,,Binghamton,NY,Broome County,13901,US,TIGER/Line® dataset from the US Census Bureau
Summer Meal Sites,East Middle School,167 E. Fredrick St,Binghamton,NY,13904,"July 10th - August 3rd,  Monday-Thursday:  Bfast 8:30-9:00 AM  Lunch 12:00 - 12:30 PM",,,,,,,,42.113543,-75.88497,1,rooftop,167,E Frederick St,,,Binghamton,NY,Broome County,13904,US,Broome
Summer Meal Sites,BOCES Area Center,435 Glenwood Rd,Binghamton,Ny ,13905,"July 5th - August 18th, Monday-Friday:  Bfast 7:45 - 9:30AM  Lunch 10:45 - 1:00PM",,,,,,,,42.12973,-75.931824,1,rooftop,435,Glenwood Rd,,,Binghamton,NY,Broome County,13905,US,Broome
Summer Meal Sites,Johnson City Elem/middle School,601 Columbia Dr,Johnson City,NY,13790,"July 10th - August 25th, Monday - Friday:  Bfast 9:15-9:30AM   Lunch 11:55 - 12:15PM",,,,,,,,42.136223,-75.961717,1,rooftop,601,Columbia Dr,,,Johnson City,NY,Broome County,13790,US,Broome
Summer Meal Sites,Johnson City High School,666 Reynolds Rd,Johnson City,NY,13790,"July 10th - August 25th, Monday - Friday:  Bfast 9:15-9:30AM   Lunch 11:55 - 12:15PM",,,,,,,,42.13453,-75.968664,1,rooftop,666,Reynolds Rd,,,Johnson City,NY,Broome County,13790,US,Broome
Summer Meal Sites,Lee Barta Community Center,108 Liberty St,Binghamton,NY,13901,"July 11th - August 24th, Tuesday and Thursday LUNCH:  11:00-12:00 PM",,,,,,,,42.109163,-75.89955,1,rooftop,108,Liberty St,,,Binghamton,NY,Broome County,13901,US,Broome
Summer Meal Sites,MacArthur Elem. School,1123 Vestal Ave,Binghamton,NY,13903,"July 10th - August 3rd,  Monday-Thursday:  Bfast 8:30-9:00 AM  Lunch 12:00 - 12:30 PM",,,,,,,,42.087084,-75.92031,1,rooftop,1123,Vestal Ave,,,Binghamton,NY,Broome County,13903,US,Broome
